Contig	Mar_OO	Apr_OO	May_lateOO	May_EE	May_ME	Jun_Lar
TRINITY_DN120099_c0_g1_i1	0.0	1.0	5.0	0.0	1.0	2.0
TRINITY_DN119074_c0_g1_i1	2.0	0.0	5.0	2.0	1.0	0.0
TRINITY_DN108323_c0_g1_i1	0.0	0.0	5.0	1.0	2.0	0.0
TRINITY_DN59075_c0_g1_i1	0.0	0.0	5.0	1.0	0.0	0.0
TRINITY_DN92066_c0_g1_i1	0.0	0.0	5.0	2.0	0.0	0.0
TRINITY_DN43928_c0_g1_i1	1.0	0.0	5.0	0.0	0.0	0.0
TRINITY_DN20641_c0_g3_i1	0.0	2.0	5.0	1.4	1.0	0.0
TRINITY_DN52415_c0_g1_i1	0.0	3.0	5.0	0.0	2.0	0.0
TRINITY_DN49836_c0_g1_i1	1.0	1.0	5.0	1.0	0.0	0.0
TRINITY_DN16963_c0_g1_i11	3.0	4.0	5.0	0.0	7.0	12.0
TRINITY_DN47548_c0_g1_i1	0.0	1.5	5.0	0.0	0.5	0.0
TRINITY_DN60747_c0_g1_i1	0.0	0.0	4.8	0.0	1.0	1.0
TRINITY_DN5036_c0_g1_i17	0.0	0.2	4.8	0.0	3.2	0.9
TRINITY_DN468_c0_g1_i5	21.0	16.8	4.7	0.0	2.4	47.2
TRINITY_DN18098_c0_g1_i4	0.0	2.0	4.7	0.0	0.0	0.0
TRINITY_DN4_c0_g1_i77	0.0	4.2	4.7	0.0	0.0	0.0
TRINITY_DN54281_c1_g1_i2	0.0	0.0	4.6	0.0	0.0	0.0
TRINITY_DN10578_c0_g1_i2	1.3	0.0	4.5	0.0	0.0	0.0
TRINITY_DN21869_c0_g2_i2	13.4	19.0	4.5	0.0	12.0	0.0
TRINITY_DN21869_c0_g2_i5	0.0	0.0	4.5	0.0	0.0	7.7
TRINITY_DN16294_c0_g1_i2	0.0	0.0	4.5	0.0	0.0	0.0
TRINITY_DN3782_c0_g1_i25	1.3	1.0	4.4	0.0	0.0	38.1
TRINITY_DN5036_c0_g1_i8	2.3	3.4	4.3	0.0	1.7	6.0
TRINITY_DN7202_c0_g1_i7	7.9	11.6	4.3	0.0	0.0	22.4
TRINITY_DN13519_c0_g2_i1	6.4	16.0	4.0	0.0	0.0	11.2
TRINITY_DN10640_c0_g3_i1	13.9	8.9	4.0	0.0	0.0	9.7
TRINITY_DN10644_c0_g1_i8	0.0	7.9	4.0	0.0	1.3	10.0
TRINITY_DN78833_c0_g1_i1	3.0	5.0	4.0	0.0	0.0	19.0
