OTU_ID	DNA1	DNA2	DNA3	Hp01	Hp02	Hp03	Hp04	Hp05	Hp06	Hp07	Hp08	Hp09	Hp10	Hp11	Hp12	Hp13	Hp14	Hp15	Hp16	Hp17	Hp18	Hp19	Hp20	Hp21	Hp22	Hp23	Hp24	Hp25	Hp26	Hp27	Hp28	Hp29	Hp30	Hp31	Hp32	Hp33	Hp34	Hp35	Hp36	Hp37	Hp38	Hp39	Hp40	Hp41	Hp42	Hp43	Hp44	Hp45	Hp46	Hp47	Hp48	Hp49	Hp50	Hp51	Hp52	Hp53	Hp54	Hp55	Hp56	Hp57	Hp58	Hp59	Hp60	Hp61	Hp62	Hp63	Hp64	Hp65	Hp66	Hp67	Hp68	Hp69	Hp70	Hp71	Hp72	Hp73	Hp74	Hp75	Hp76	Hp77	Hp78	Hp79	Hp80	Hp81	Hp82	Hp83	Hp84	Hp85	Hp86	Hp87	Hp88	Hp89
Zotu1238	0	0	1	0	0	0	0	0	0	0	0	0	29	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu11	0	0	0	1359	2466	529	559	1094	359	2101	818	1163	606	189	239	126	137	168	44	25	82	34	41	18	17	12	46	21	34	31	11	13	25	568	354	168	206	294	186	92	352	344	483	111	82	226	68	289	78	77	116	169	64	289	104	119	170	34	93	158	74	32	81	5	23	3	24	1	2	0	0	0	0	3	0	1	4	0	0	5	0	0	3	0	3	6	0	3	2	2	6	2
Zotu85	0	0	0	180	154	41	0	27	31	122	66	70	310	4	8	27	5	5	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	17	10	0	24	5	0	0	8	10	0	12	0	3	0	0	10	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu8	0	0	0	172	0	0	6	0	0	4	1	36	418	1520	1361	834	1026	1270	1075	1288	238	765	250	1690	415	795	1452	440	686	522	603	1761	2373	836	159	1904	72	160	900	794	1987	81	669	1595	239	93	325	216	81	52	16	108	52	238	303	93	20	31	53	79	300	30	35	0	113	10	4	39	35	27	1	48	113	0	0	9	65	0	0	0	7	0	0	1	0	0	0	0	0	0	6	0
Zotu463	0	0	0	37	0	0	0	0	0	0	0	0	0	19	4	5	0	6	10	1	7	8	2	47	18	13	0	3	26	6	0	2	2	0	1	0	14	6	0	0	0	0	0	0	0	6	9	2	0	0	22	0	0	0	0	0	0	13	0	4	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu368	0	0	0	59	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1029	0	0	0	36	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu9	0	0	0	2070	1928	1062	643	5059	407	1445	576	726	798	110	110	133	118	151	79	60	107	91	64	38	60	67	87	28	45	36	24	18	29	179	138	312	150	165	96	109	101	144	123	79	67	92	27	124	22	85	24	50	4	66	14	30	118	18	14	39	37	17	13	15	57	41	10	41	25	16	8	1	5	0	15	5	24	15	36	71	46	71	25	18	24	25	34	31	61	42	22	83
Zotu413	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu56	0	0	0	72	0	0	0	0	0	58	12	18	13	76	131	66	52	97	215	171	196	176	317	172	69	91	219	16	175	145	58	56	107	4	29	20	16	19	24	10	13	23	24	3	3	16	7	8	6	0	6	2	0	14	0	0	32	0	0	17	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	9	0	2
